"153","bercyslegers","CD&V","107.jpg","Bercy","Slegers","1976-05-13","Wervik",\N
"154","sarahsmeyers","N-VA","594.jpg","Sarah","Smeyers","1980-10-08","Aalst","Alderman (or Chair of CPAS)"
"155","nadiasminate","N-VA","109.jpg","Nadia","Sminate","1981-12-29","Londerzeel","Alderman (or Chair of CPAS)"
"156","bartsomers","Open VLD","110.jpg","Bartholomeus (Bart)","Somers","1964-05-12","Mechelen (Hombeek)","Mayor"
"157","inesomers","Open VLD","111.jpg","Ine","Somers","1971-06-13","Sint-Niklass","Federal Chamber of Representatives"
"158","karintemmerman","sp.a","112.jpg","Karin","Temmerman","1958-09-25","Gentbrugge ","Federal Chamber of Representatives"
"159","rafterwingen","CD&V","113.jpg","Raf","Terwingen","1972-07-12","Maasmechelen","Mayor"
"160","brunotobback","sp.a","114.jpg","Bruno","Tobback","1969-08-22","Wijgmaal","Flemish Parliament"
"161","brunotuybens","sp.a","115.jpg","Bruno","Tuybens","1961-11-10","Zwalm",\N
"162","kareluyttersprot","N-VA","116.jpg","Karel","Uyttersprot","1949-07-10","Lebbeke",\N
"163","brunovalkeniers","Vlaams Belang","117.jpg","Bruno","Valkeniers","1955-06-13","Wilrijk",\N
"164","lukvanbiesen","Open VLD","118.jpg","Luk","Van Biesen","1960-06-26","Kraainem","Province or municipal councillor"
"165","jefvandenbergh","CD&V","119.jpg","Jef","Van den Bergh","1973-02-05","Kalmthout","Federal Chamber of Representatives"
"166","liesbethvanderauwera","CD&V","120.jpg","Liesbeth","Van der Auwera","1968-11-16","Bree","Mayor"
"167","dirkvandermaelen","sp.a","2312.png","Dirk","Van der Maelen","1953-03-14","Geraardsbergen","Federal Chamber of Representatives"
"168","mirandavaneetvelde","N-VA","122.jpg","Miranda","Van Eetvelde","1959-09-24","Zele","Belgian Senate"
"169","janvanesbroeck","N-VA","123.jpg","Jan","Van Esbroeck","1968-09-30","Kalmthout","Belgian Senate"
"170","nikvangool","CD&V","124.jpg","Nik","Van Gool","1962-10-24","Koningshooikt",\N
"171","stefaanvanhecke","Groen!","1688.jpg","Stefaan","Van Hecke","1973-01-04","Merelbeke","Province or municipal councillor"
"172","reinildevanmoer","N-VA","126.jpg","Reinilde","Van Moer","1956-11-21","Willebroek",""
"173","florvannoppen","N-VA","127.jpg","Flor","Van Noppen","1956-06-28","Dessel",\N
"174","vincentvanquickenborne","Open VLD","128.jpg","Vincent","Van Quickenborne","1973-08-01","Kortrijk ","Mayor"
"175","kristienvanvaerenbergh","N-VA","129.jpg","Kristien","Van Vaerenbergh","1978-04-22","Lennik","Federal Chamber of Representatives"
"176","stevenvanackere","CD&V","130.jpg","Steven","Vanackere","1964-02-04","Neder-Over-Heembeek","Belgian Senate"
"177","stevenvandeput","N-VA","131.jpg","Steven","Vandeput","1967-03-30","Hasselt","Federal Goverment"
"178","annickvanheste","sp.a","133.jpg","Ann","Vanheste","1969-03-05","Adinkerke","Mayor"
"179","petervanvelthoven","sp.a","134.jpg","Peter","Vanvelthoven","1962-10-22","Lommel","Mayor"
"180","stefaanvercamer","CD&V","135.jpg","Stefaan","Vercamer","1961-06-09","Oudenaarde","Alderman (or Chair of CPAS)"
"181","tanguyveys","Vlaams Belang","1839.jpg","Tanguy","Veys","1972-03-28","Blankenberge",\N
"182","kristofwaterschoot","CD&V","137.jpg","Kristof","Waterschoot","1981-08-09","Hoboken",\N
"183","benweyts","N-VA","138.jpg","Ben","Weyts","1970-11-21","Huizingen","Flemish Goverment"
"184","lievewierinck","Open VLD","139.jpg","Lieve","Wierinck","1957-07-03","Zaventem ","Province or municipal councillor"
"185","frankwilrycx","Open VLD","140.jpg","Frank","Wilrycx","1965-04-25","Merksplas","Mayor"
