"142","nahimalanjri","CD&V","643","Nahima","Lanjri","1968-02-17","Borgerhout (Antwerpen)","Federal Chamber of Representatives"
"143","peterlogghe","Vlaams Belang","97","Peter","Logghe","1959-03-20","Roeselare",""
"144","peterluykx","N-VA","98","Peter","Luykx","1964-05-06","Lommel","Province or municipal councillor"
"145","bertmaertens","N-VA","2270","Bert","Maertens","1981-11-16","Izegem","Mayor"
"146","rosalinemouton","sp.a","100","Rosaline","Mouton","1981-10-14","Koksijde",\N
"147","nathaliemuylle","CD&V","101","Nathalie","Muylle","1969-02-08","Roeselare","Alderman (or Chair of CPAS)"
"148","barbarapas","Vlaams Belang","102","Barbara","Pas","1981-03-01","Dendermonde","Province or municipal councillor"
"149","annickponthier","Vlaams Belang","103","Annick","Ponthier","1971-10-24","Bilzen",\N
"150","gwendolynrutten","Open VLD","104","Gwendolyn","Rutten","1975-06-26","Rillaar","Chair of a party"
"151","willemfrederikschiltz","Open VLD","598","Willem-Frederik","Schiltz","1979-06-22","Antwerpen","Flemish Parliament"
"152","bertschoofs","Vlaams Belang","106","Bert","Schoofs","1967-06-10","Paal",\N
"153","bercyslegers","CD&V","107","Bercy","Slegers","1976-05-13","Wervik",\N
"154","sarahsmeyers","N-VA","594","Sarah","Smeyers","1980-10-08","Aalst","Alderman (or Chair of CPAS)"
"155","nadiasminate","N-VA","109","Nadia","Sminate","1981-12-29","Londerzeel","Alderman (or Chair of CPAS)"
"156","bartsomers","Open VLD","110","Bartholomeus (Bart)","Somers","1964-05-12","Mechelen (Hombeek)","Mayor"
"157","inesomers","Open VLD","111","Ine","Somers","1971-06-13","Sint-Niklass","Federal Chamber of Representatives"
"158","karintemmerman","sp.a","112","Karin","Temmerman","1958-09-25","Gentbrugge ","Federal Chamber of Representatives"
"159","rafterwingen","CD&V","113","Raf","Terwingen","1972-07-12","Maasmechelen","Mayor"
"160","brunotobback","sp.a","114","Bruno","Tobback","1969-08-22","Wijgmaal","Flemish Parliament"
"161","brunotuybens","sp.a","115","Bruno","Tuybens","1961-11-10","Zwalm",\N
"162","kareluyttersprot","N-VA","116","Karel","Uyttersprot","1949-07-10","Lebbeke",\N
"163","brunovalkeniers","Vlaams Belang","117","Bruno","Valkeniers","1955-06-13","Wilrijk",\N
"164","lukvanbiesen","Open VLD","118","Luk","Van Biesen","1960-06-26","Kraainem","Province or municipal councillor"
"165","jefvandenbergh","CD&V","119","Jef","Van den Bergh","1973-02-05","Kalmthout","Federal Chamber of Representatives"
"166","liesbethvanderauwera","CD&V","120","Liesbeth","Van der Auwera","1968-11-16","Bree","Mayor"
"167","dirkvandermaelen","sp.a","2312","Dirk","Van der Maelen","1953-03-14","Geraardsbergen","Federal Chamber of Representatives"
"168","mirandavaneetvelde","N-VA","122","Miranda","Van Eetvelde","1959-09-24","Zele","Belgian Senate"
"169","janvanesbroeck","N-VA","123","Jan","Van Esbroeck","1968-09-30","Kalmthout","Belgian Senate"
"170","nikvangool","CD&V","124","Nik","Van Gool","1962-10-24","Koningshooikt",\N
"171","stefaanvanhecke","Groen!","1688","Stefaan","Van Hecke","1973-01-04","Merelbeke","Province or municipal councillor"
"172","reinildevanmoer","N-VA","126","Reinilde","Van Moer","1956-11-21","Willebroek",""
"173","florvannoppen","N-VA","127","Flor","Van Noppen","1956-06-28","Dessel",\N
"174","vincentvanquickenborne","Open VLD","128","Vincent","Van Quickenborne","1973-08-01","Kortrijk ","Mayor"
"175","kristienvanvaerenbergh","N-VA","129","Kristien","Van Vaerenbergh","1978-04-22","Lennik","Federal Chamber of Representatives"
"176","stevenvanackere","CD&V","130","Steven","Vanackere","1964-02-04","Neder-Over-Heembeek","Belgian Senate"
"177","stevenvandeput","N-VA","131","Steven","Vandeput","1967-03-30","Hasselt","Federal Goverment"
"178","annickvanheste","sp.a","133","Ann","Vanheste","1969-03-05","Adinkerke","Mayor"
"179","petervanvelthoven","sp.a","134","Peter","Vanvelthoven","1962-10-22","Lommel","Mayor"
"180","stefaanvercamer","CD&V","135","Stefaan","Vercamer","1961-06-09","Oudenaarde","Alderman (or Chair of CPAS)"
"181","tanguyveys","Vlaams Belang","1839","Tanguy","Veys","1972-03-28","Blankenberge",\N
"182","kristofwaterschoot","CD&V","137","Kristof","Waterschoot","1981-08-09","Hoboken",\N
"183","benweyts","N-VA","138","Ben","Weyts","1970-11-21","Huizingen","Flemish Goverment"
"184","lievewierinck","Open VLD","139","Lieve","Wierinck","1957-07-03","Zaventem ","Province or municipal councillor"
"185","frankwilrycx","Open VLD","140","Frank","Wilrycx","1965-04-25","Merksplas","Mayor"
"186","bertwollants","N-VA","1100","Bert","Wollants","1979-08-30","Lier","Federal Chamber of Representatives"
"187","veerlewouters","N-VA","142","Veerle","Wouters","1974-06-02","Riemst","Federal Chamber of Representatives"
"191","valeriedeom","PS","1569","Valérie","Déom","1967-06-27","Namur",""
"193","thierrygiet","PS","1570","Thierry","Giet","1958-07-21","Sprimont",\N
"196","stefaandeclerck","CD&V","1840","Stefaan","De Clerck","1951-12-12","Kortrijk",""
"197","rolanddefreyne","Open VLD","1563","Roland","Defreyne",\N,"Gistel",\N
"200","carinavancauter","Open VLD","1494","Carina","Van Cauter","1962-06-27","Herzele","Federal Chamber of Representatives"
"202","ingevervotte","CD&V","1573","Inge","Vervotte","1977-12-27","",\N
"203","christosdoulkeridis","ECOLO","1824","Christos","Doulkeridis","1968-03-06","Bruxelles","Parliament of the French Community"
"205","evelynehuytebroeck","ECOLO","145","Evelyne","Huytebroeck","1958-05-02","Forest","Brussels Parliament"
"207","rudivervoort","PS","1711","Rudi","Vervoort","1958-11-20","Evere","Brussels Goverment"
"208","brunodelille","Groen!","1648","Bruno","De Lille","1973-07-02","Brussel","Brussels Parliament"
"209","brigittegrouwels","CD&V","148","Brigitte","Grouwels","1953-05-30","Brussel","Belgian Senate"
"210","guyvanhengel","Open VLD","1632","Guy","Vanhengel","1958-06-10","Evere","Brussels Goverment"
"211","karlheinzlambertz","SP","150","Karl-Heinz","Lambertz","1952-06-04","Eupen","Chair of a parliament"
"212","haraldmollers","ProDG","151","Harald","Mollers","1977-10-10","","German Goverment"
"213","oliverpaasch","ProDG","152","Oliver","Paasch","1971-10-21","Sankt Vith","German Goverment"
"214","isabelleweykmans","MR","153","Isabelle","Weykmans","1979-12-03","Eupen","German Goverment"
